symbol,name,sector
ISKPL.IS,IŞIK PLASTİK SANAYİ VE DIŞ TİCARET PAZARLAMA A.Ş.,Other
ISKUR.IS,TÜRKİYE İŞ BANKASI A.Ş.,Other
ISMEN.IS,İŞ YATIRIM MENKUL DEĞERLER A.Ş.,Other
ISSEN.IS,İŞBİR SENTETİK DOKUMA SANAYİ A.Ş.,Other
ISYAT.IS,İŞ YATIRIM ORTAKLIĞI A.Ş.,Other
ITTFH.IS,İTTİFAK HOLDİNG A.Ş.,Other
IZENR.IS,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,Other
IZFAS.IS,İZMİR FIRÇA SANAYİ VE TİCARET A.Ş.,Other
IZINV.IS,İZ YATIRIM HOLDİNG A.Ş.,Other
IZMDC.IS,İZMİR DEMİR ÇELİK SANAYİ A.Ş.,Other
JANTS.IS,JANTSA JANT SANAYİ VE TİCARET A.Ş.,Other
KAPLM.IS,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.,Other
KAREL.IS,KAREL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,Other
KARSN.IS,KARSAN OTOMOTİV SANAYİİ VE TİCARET A.Ş.,Other
KARTN.IS,KARTONSAN KARTON SANAYİ VE TİCARET A.Ş.,Other
KARYE.IS,KARTAL YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,Other
KATMR.IS,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,Other
KCAER.IS,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,Other
KCHOL.IS,KOÇ HOLDİNG A.Ş.,Other
KENT.IS,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,Other
KERVN.IS,KERVANSARAY YATIRIM HOLDİNG A.Ş.,Other
KERVT.IS,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,Other
KFEIN.IS,KAFEİN YAZILIM HİZMETLERİ TİCARET A.Ş.,Other
KGYO.IS,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
KIMMR.IS,ERSAN ALIŞVERİŞ HİZMETLERİ VE GIDA SANAYİ TİCARET A.Ş.,Other
KLGYO.IS,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
KLKIM.IS,KALEKİM KİMYEVİ MADDELER SANAYİ VE TİCARET A.Ş.,Other
KLMSN.IS,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,Other
KLNMA.IS,TÜRKİYE KALKINMA VE YATIRIM BANKASI A.Ş.,Other
KLRHO.IS,KİLER HOLDİNG A.Ş.,Other
KLSER.IS,KALESERAMİK ÇANAKKALE KALEBODUR SERAMİK SANAYİ A.Ş.,Other
KLSYN.IS,KOLEKSİYON MOBİLYA SANAYİ A.Ş.,Other
KMPUR.IS,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,Other
KNFRT.IS,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,Other
KONKA.IS,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,Other
KONTR.IS,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,Other
KONYA.IS,KONYA ÇİMENTO SANAYİİ A.Ş.,Other
KOPOL.IS,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,Other
KORDS.IS,KORDSA TEKNİK TEKSTİL A.Ş.,Other
KOZAA.IS,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,Other
KOZAL.IS,KOZA ALTIN İŞLETMELERİ A.Ş.,Other
KRDMA.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,Other
KRDMB.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,Other
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.,Other
